Agosto,
sum  Valor ,Clube
"R$ 46.625,55",COMAFA UIRAÇU
"R$ 42.475,00",COMAFA PERSEU
"R$ 39.778,51",SCAER
"R$ 26.890,36",CONSUMO COMERCIAL
"R$ 22.827,09",COMAFA DRAKON
"R$ 8.660,00",MUSCULAÇÃO
"R$ 6.287,50",EVV
"R$ 5.461,42",JIU-JITSU
"R$ 2.970,00",LITERATURA
"R$ 2.670,00",CTNN
"R$ 2.280,00",GERAES
"R$ 1.865,88",COMAFA
"R$ 1.320,00",CSAV
"R$ 1.245,00",CTG
"R$ 1.065,00",GRUPO CATÓLICO
"R$ 917,00",LAVANDERIA
"R$ 525,00",ESCALADA
"R$ 360,00",AIRSOFT
"R$ 330,00",NEAG
"R$ 300,00",COCAFA
"R$ 300,00",INVESTIMENTO
"R$ 294,00",Facilidades
"R$ 280,00",MÚSICA
"R$ 225,00",ACC
"R$ 77,00",NEGEC
